NID	Action	Front (truncated)	Old visible Back count	New visible Back count	Prior 250-rule action	New 300-rule action	Changed by 300-rule?	Clinical risk?	Flag type	Flag reason	AACN relevance	Notes
MODS & TRAUMA SUBDECK (30 notes)
1778251562717	NO ACTION	(not fetched — no action)	223	223	NO ACTION	NO ACTION	No	Low			MODS & Trauma	Under both 250 and 300 limits
1778251562719	NO ACTION	(not fetched — no action)	227	227	NO ACTION	NO ACTION	No	Low			MODS & Trauma	Under both 250 and 300 limits
1778251562721	NO ACTION	(not fetched — no action)	240	240	NO ACTION	NO ACTION	No	Low			MODS & Trauma	Under both 250 and 300 limits
1778251562723	NO ACTION	(not fetched — no action)	177	177	NO ACTION	NO ACTION	No	Low			MODS & Trauma	Under both 250 and 300 limits
1778251562725	NO ACTION	(not fetched — no action)	300	300	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule; exactly at new limit
1778251562727	NO ACTION	(not fetched — no action)	287	287	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule
1778251562729	SAFE REWRITE — EXECUTED	What is the trauma initial assessment and secondary assessment?	346	287	REWRITE	SAFE REWRITE	No	Low			MODS & Trauma — Primary Assessment	Compressed 346→287; all 9 ABCDE/FGHI letters preserved; newlines → pipe format
1778251562731	NO ACTION	(not fetched — no action)	271	271	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule
1778251562733	NO ACTION	(not fetched — no action)	238	238	NO ACTION	NO ACTION	No	Low			MODS & Trauma	Under both 250 and 300 limits
1778251562735	NO ACTION	(not fetched — no action)	282	282	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule
1778251562737	NO ACTION	(not fetched — no action)	290	290	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule
1778251562739	NO ACTION	(not fetched — no action)	221	221	NO ACTION	NO ACTION	No	Low			MODS & Trauma	Under both 250 and 300 limits
1778251562741	NO ACTION	(not fetched — no action)	289	289	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule
1778251562743	NO ACTION	(not fetched — no action)	270	270	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule
1778251562745	NO ACTION	(not fetched — no action)	297	297	REWRITE	NO ACTION	Yes	Low			MODS & Trauma	Changed 250→300 rule
1778381918063	SAFE SPLIT — SUSPENDED	Trauma primary survey ABCDE: A = ___, B = ___, C = ___...	2253	N/A (suspended)	SPLIT	SAFE SPLIT	No	Low			MODS & Trauma — Primary Survey	3 daughters: 1779278789594/595/596; card 1778381918064 suspended
1778381918066	SAFE SPLIT — SUSPENDED	Hemorrhagic shock Class I: blood loss ___ mL, HR ___, BP ___...	1953	N/A (suspended)	SPLIT	SAFE SPLIT	No	Low			MODS & Trauma — Hemorrhagic Shock	3 daughters: 1779278789597/598/599; card 1778381918067 suspended
